volcano,lat,lon,v_alt,yyyy,mm,dd,type,vei,p_alt_obs,p_alt_est,so2(kt)
Ambrym,-16.25,168.12,1.334,1978,12,5,exp,2,-999.0,11.334,87.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,1,eff,2,2.0,-999.0,10.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,2,eff,2,7.0,-999.0,60.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,3,eff,2,2.0,-999.0,40.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,4,eff,2,3.0,-999.0,10.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,5,eff,2,7.0,-999.0,70.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,6,eff,2,10.0,-999.0,70.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,7,eff,2,4.0,-999.0,60.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,8,eff,2,6.0,-999.0,9.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,9,eff,2,2.0,-999.0,9.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,10,eff,2,2.0,-999.0,9.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,11,eff,2,2.0,-999.0,9.0
Cerro_Azul,-0.92,-91.408,1.69,1979,2,12,eff,2,2.0,-999.0,2.0
Karkar,-4.649,145.964,1.839,1979,3,8,exp,2,-999.0,11.839,50.0
Soufriere_St_Vincent,13.33,-61.18,1.22,1979,4,13,exp,3,18.0,-999.0,3.0
Etna,37.734,15.004,3.35,1979,8,4,exp,3,-999.0,8.35,10.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,13,eff,3,14.0,-999.0,500.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,14,eff,3,8.0,-999.0,500.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,15,eff,3,3.0,-999.0,500.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,16,eff,3,3.0,-999.0,90.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,17,eff,3,2.0,-999.0,300.0
